id;nome_escola_id;nu_ano_censo;id_aluno;id_matricula;nu_mes;nu_ano;nu_idade_referencia;nu_idade;nu_duracao_turma;nu_dur_ativ_comp_mesma_rede;nu_dur_ativ_comp_outras_redes;nu_dur_aee_mesma_rede;nu_dur_aee_outras_redes;nu_dias_atividade;tp_sexo;tp_cor_raca;tp_nacionalidade;co_pais_origem;co_uf_nasc;co_municipio_nasc;co_uf_end;co_municipio_end;tp_zona_residencial;tp_local_resid_diferenciada;tp_outro_local_aula;in_aee_libras;in_aee_lingua_portuguesa;in_aee_informatica_acessivel;in_aee_braille;in_aee_caa;in_aee_soroban;in_aee_vida_autonoma;in_aee_opticos_nao_opticos;in_aee_enriq_curricular;in_aee_desen_cognitivo;in_aee_mobilidade;in_transporte_publico;tp_responsavel_transporte;in_transp_vans_kombi;in_transp_micro_onibus;in_transp_onibus;in_transp_bicicleta;in_transp_tr_animal;in_transp_outro_veiculo;in_transp_embar_ate5;in_transp_embar_5a15;in_transp_embar_15a35;in_transp_embar_35;in_necessidade_especial;in_baixa_visao;in_cegueira;in_def_auditiva;in_def_fisica;in_def_intelectual;in_surdez;in_surdocegueira;in_def_multipla;in_autismo;in_superdotacao;in_recurso_ledor;in_recurso_transcricao;in_recurso_interprete;in_recurso_libras;in_recurso_video_libras;in_recurso_labial;in_recurso_braille;in_recurso_cd_audio;in_recurso_prova_portugues;in_recurso_ampliada_18;in_recurso_ampliada_24;in_recurso_nenhum;tp_mediacao_didatico_pedago;in_especial_exclusiva;in_regular;in_eja;in_profissionalizante;tp_etapa_ensino;id_turma;co_curso_educ_profissional;tp_unificada;tp_tipo_atendimento_turma;tp_tipo_local_turma;tp_dependencia;tp_categoria_escola_privada;in_conveniada_pp;tp_convenio_poder_publico;in_mant_escola_privada_emp;in_mant_escola_priv_ong_oscip;in_mant_escola_privada_oscip;in_mant_escola_privada_ong;in_mant_escola_privada_sind;in_mant_escola_privada_sist_s;in_mant_escola_privada_s_fins;tp_regulamentacao;in_educacao_indigena
270550;425;2019;1487E5AC25633025CB15FCE004C0EDE8;357957546;7;2002;16;17;270;0;0;0;0;5;2;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;41;15964854;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
270881;425;2019;2541E1726A63A11E6BC090BF0EA5DD1A;357957600;12;2005;13;14;270;0;0;0;0;5;2;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;20;15962795;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
271386;425;2019;DD0814F360C554D782896E049ED917F7;357957287;8;2000;18;19;170;0;0;0;0;5;1;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;70;15964857;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
271574;425;2019;AD35D9C8C7A8CE2E0E956D82F44A98E0;357956760;12;2005;13;14;270;0;0;0;0;5;2;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;20;15962799;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
271755;425;2019;D141694876E5F9F17EB5792AB39342B2;357957598;9;2004;14;15;270;0;0;0;0;5;1;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;20;15962795;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
272211;425;2019;C4988C59EAE9C8558AD5D580ED2A7DE4;357956551;12;2003;15;16;270;0;0;0;0;5;2;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;19;15964852;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
272486;425;2019;3DBE6AB0EED2ED33531B34A54376DEA3;357956303;2;1998;21;21;170;0;0;0;0;5;1;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;71;15964858;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
272508;425;2019;D5E6D31773D94B0FAE279E6AEC995FD8;357956639;10;2005;13;14;270;0;0;0;0;5;2;2;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;21;15964856;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
274102;425;2019;0CF8F07FDA4E118469CBC8D72D3F8B21;357957517;8;2005;13;14;270;0;0;0;0;5;2;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;21;15964856;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
274755;425;2019;A16EAFBFDF584A2D3DBC8D69F920BCA8;357956608;3;2006;13;13;270;0;0;0;0;5;1;0;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;20;15962796;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
274762;425;2019;7BB173DE03A7D60F78309440BA6350CF;357957573;5;2006;13;13;270;0;0;0;0;5;2;3;1;76;29;2927408;29;2927408;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;19;15964852;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;1;0
