ANO,UF,MUNICIPIO,NOME_MUNICIPIO,COD_ESCOLA,NOME_ESCOLA,REDE,IDEB,NIVEL
2017,BA,2927408,Salvador,29190908,EE - COLEGIO ESTADUAL LUIS ROGERIO DE SOUZA,Estadual,NA,EM
2017,BA,2927408,Salvador,29190991,EE - COLEGIO ESTADUAL JOAO DAS BOTAS,Estadual,NA,EM
2017,BA,2927408,Salvador,29191009,EE - COLEGIO ESTADUAL KLEBER PACHECO,Estadual,NA,EM
2017,BA,2927408,Salvador,29191041,EE - COLEGIO ESTADUAL PADRE PALMEIRA,Estadual,3.2,EM
2017,BA,2927408,Salvador,29191068,EE - COLEGIO ESTADUAL PINTO DE AGUIAR,Estadual,NA,EM
2017,BA,2927408,Salvador,29191092,EE - COLEGIO ESTADUAL EDVALDO FERNANDES - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29191157,EE - COLEGIO ESTADUAL VERA LUX,Estadual,NA,EM
2017,BA,2927408,Salvador,29191173,EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO - TEMPO INTEGRAL,Estadual,NA,EM
2017,BA,2927408,Salvador,29191190,EE - CENTRO EST DE ED PROFISSIONAL EM SAUDE E TECNOLOGIA DA INFORMACAO CARLOS CORREA DE MENEZES SANT,Estadual,NA,EM
2017,BA,2927408,Salvador,29191211,EE - COLEGIO ESTADUAL DE APLICACAO ANISIO TEIXEIRA,Estadual,NA,EM
2017,BA,2927408,Salvador,29191270,EE - COLEGIO ESTADUAL BENTO GONCALVES,Estadual,1.4,EM
2017,BA,2927408,Salvador,29191335,EE - COLEGIO ESTADUAL BATISTA NEVES,Estadual,NA,EM
2017,BA,2927408,Salvador,29191343,EE - COLEGIO ESTADUAL PROFESSOR ROMULO ALMEIDA,Estadual,NA,EM
2017,BA,2927408,Salvador,29191378,EE - COLEGIO ESTADUAL DEPUTADO LUIS EDUARDO MAGALHAES,Estadual,NA,EM
2017,BA,2927408,Salvador,29191661,EE - COLEGIO ESTADUAL BARROS BARRETO,Estadual,NA,EM
2017,BA,2927408,Salvador,29191840,EE - COLEGIO ESTADUAL EDVALDO BRANDAO CORREIA,Estadual,NA,EM
2017,BA,2927408,Salvador,29191920,EE - COLEGIO ESTADUAL ERALDO TINOCO,Estadual,NA,EM
2017,BA,2927408,Salvador,29192013,EE - COLEGIO ESTADUAL ANA BERNARDES,Estadual,NA,EM
2017,BA,2927408,Salvador,29192021,EE - COLEGIO ESTADUAL LUIZ JOSE DE OLIVEIRA,Estadual,1.7,EM
2017,BA,2927408,Salvador,29192030,EE - COLEGIO ESTADUAL MINISTRO ALIOMAR BALEEIRO,Estadual,NA,EM
2017,BA,2927408,Salvador,29192064,EE - COLEGIO ESTADUAL EDSON TENORIO DE ALBUQUERQUE,Estadual,NA,EM
2017,BA,2927408,Salvador,29192080,EE - COLEGIO ESTADUAL PROFESSORA MARIA ANITA,Estadual,NA,EM
2017,BA,2927408,Salvador,29192129,EE - COLEGIO ESTADUAL BOLIVAR SANTANA,Estadual,NA,EM
2017,BA,2927408,Salvador,29192137,EE - COLEGIO ESTADUAL DINAH GONCALVES,Estadual,NA,EM
