UF;MUNICIPIO;NOME_MUNICIPIO;COD_ESCOLA;NOME_ESCOLA;REDE;TXAPROV_TOTAL_2017;TXAPROV_SERIE1_2017;TXAPROV_SERIE2_2017;TXAPROV_SERIE3_2017;TXAPROV_SERIE4_2017;P_2017;TXAPROV_TOTAL_2019;TXAPROV_SERIE1_2019;TXAPROV_SERIE2_2019;TXAPROV_SERIE3_2019;TXAPROV_SERIE4_2019;P_2019;SAEB_MAT_2017;SAEB_PORT_2017;N_2017;SAEB_MAT_2019;SAEB_PORT_2019;N_2019;IDEB_2017;IDEB_2019
BA;2927408;Salvador;29182581;LICEU SALESIANO DO SALVADOR;Privada;93.8;92.4;95.8;92.9;NA;0.936763;NA;NA;NA;NA;NA;NA;358.17;336.61;6.759064;NA;NA;NA;6.3;NA
BA;2927408;Salvador;29182620;COLEGIO SANTOS CARNEIRO;Privada;86.4;77.8;92.9;88.5;NA;0.859176;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182646;COLEGIO SAO PAULO;Privada;96.4;93.1;98.7;100;NA;0.971728;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29182689;EE - COLEGIO ESTADUAL ALMIRANTE BARROSO;Estadual;52.7;36.3;59.7;81.8;NA;0.530752;74.7;65.9;85.7;84.3;NA;0.775083;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29182697;EE - COLEGIO ESTADUAL CLERISTON ANDRADE;Estadual;62;52.7;64.2;70.6;NA;0.615815;75.1;65.7;80.4;84.9;NA;0.760706;ND;ND;NA;257.69;261.54;4.224025;NA;3.2
BA;2927408;Salvador;29182719;EE - COLEGIO ESTADUAL FREDERICO COSTA;Estadual;79.6;75.4;76.9;100;NA;0.82721;75.3;63.9;81.1;91.9;NA;0.771976;290.4;286.62;5.058884;270.39;267.61;4.493264;4.2;3.5
BA;2927408;Salvador;29182735;EE - COLEGIO ESTADUAL RUBEN DARIO;Estadual;59.5;41.6;76.7;67.2;NA;0.577398;48;35.3;62.1;70;NA;0.510922;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29183987;EE - COLEGIO ESTADUAL MARCILIO DIAS - TEMPO INTEGRAL;Estadual;57.8;53.7;56;66.3;NA;0.581823;59.9;60.9;47.7;68.9;NA;0.578051;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29184460;EE - COLEGIO ESTADUAL DEMOCRATICO BERTHOLDO CIRILO DOS REIS;Estadual;61.5;53.7;54.3;78.7;81.8;0.645478;64.5;57.9;65.2;74.7;NA;0.652238;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29184916;EE - COLEGIO ESTADUAL DESEMBARGADOR PEDRO RIBEIRO;Estadual;85;81.6;84.2;89.7;NA;0.850348;87.1;81.8;88.4;90.5;NA;0.867381;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29184932;EE - COLEGIO ESTADUAL PROFESSOR EDSON CARNEIRO;Estadual;76;63.4;81.1;89.5;NA;0.763815;80.6;72;80.4;94.7;NA;0.813309;ND;ND;NA;ND;ND;NA;NA;NA
